
Browse Swift Codes in united states-8 (US SWIFT Code)

We have provided you with a list of SWIFT codes for all banks currently present in united states-8. But note that the mentioned list of SWIFT codes contains just the active participants who are linked to the SWIFT network. However the inactive participants are omitted from here.

No	Institution	City Heading	Branch Name	Swift Code
733	COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC	MINNEAPOLIS,MN	(FIXED INCOME)	AEFAUS4BFIX
734	COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC	MINNEAPOLIS,MN		AEFAUS44XXX
735	COLUMBIA STATE BANK	TACOMA,WA		COLBUS66XXX
736	COLUMBIA WANGER ASSET MANAGEMENT LP	CHICAGO,IL		CWAAUS4AXXX
737	COMCAST CAPITAL CORPORATION	WILMINGTON,DE		COMCUS33XXX
738	COMERICA BANK	DALLAS,TX		MNBDUS4DXXX
739	COMERICA BANK	DETROIT,MI	(FOREIGN EXCHANGE DEPARTMENT)	MNBDUS33FEX
740	COMERICA BANK	DETROIT,MI	(TRUST OPERATIONS)	MNBDUS33GCS
741	COMERICA BANK	DETROIT,MI		MNBDUS33XXX
742	COMERICA BANK	EL SEGUNDO,CA	(INTERNATIONAL DEPARTMENT)	MNBDUS6SLAX
743	COMERICA BANK	FORT LAUDERDALE,FL	(FLORIDA INTERNATIONAL DEPARTMENT)	MNBDUS33FLA
744	COMERICA BANK	HOUSTON,TX	(HOUSTON REGION INTERNATIONAL DEPARTMENT)	MNBDUS4DHOU
745	COMERICA BANK	SAN FRANCISCO,CA	(SFO OFFICE)	MNBDUS6SSFO
746	COMERICA BANK	SAN FRANCISCO,CA		MNBDUS6SXXX
747	COMMERCE BANK	KANSAS CITY,MO		CBKCUS44XXX
748	COMMERCE BANK	ST. LOUIS,MO	(ST. LOUIS LOCATION)	CBKCUS44STL
749	COMMERZ MARKETS LLC	NEW YORK,NY	(INTERNATIONAL EQUITIES)	DSECUS33INT
750	COMMERZ MARKETS LLC	NEW YORK,NY		DSECUS33XXX
751	COMMERZBANK AG	DELAWARE,NY		COBAUS3XUSF
752	COMMERZBANK AG	NEW YORK,NY	(INTERNATIONAL BANKING FACILITY)	COBAUS3XIBF
753	COMMERZBANK AG	NEW YORK,NY		COBAUS3XXXX
754	COMMONWEALTH BANK OF AUSTRALIA	DELAWARE,NY		CTBAUS33DEL
755	COMMONWEALTH BANK OF AUSTRALIA	NEW YORK,NY	(FOREIGN EXCHANGE)	CTBAUS33FXD
756	COMMONWEALTH BANK OF AUSTRALIA	NEW YORK,NY	(IBF)	CTBAUS33IBF
757	COMMONWEALTH BANK OF AUSTRALIA	NEW YORK,NY		CTBAUS33XXX
758	COMMONWEALTH BUSINESS BANK	LOS ANGELES,CA		CWBBUS6LXXX
759	COMMUNITY BANK	PASADENA,CA		CBPBUS6LXXX
760	COMMUNITY BANKERS’ BANK	MIDLOTHIAN,VA		COMHUS33XXX
761	COMPASS BANK	BIRMINGHAM,AL		CPASUS44XXX
762	COMPASS BANK	LAREDO,TX		CPASUS44LNB
763	COMPASS GROUP LLC	NEW YORK,NY		CGCOUS33XXX
764	COMPUTER SCIENCES CORPORATION	FALLS CHURCH,VA		CSCXUS33XXX
765	CONNING ASSET MANAGEMENT	HARTFORD,CT		CONNUS3HXXX
766	CONSTELLATION ENERGY GROUP, INC.	BALTIMORE,MD		COGYUS33XXX
767	CONTINENTAL EXCHANGE SOLUTIONS, INC.	BUENA PARK,CA		RIAIUS66XXX
768	COOPER US INC	HOUSTON,TX		CINDUS4HXXX
769	COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC. (CARE)	ATLANTA,GA		CURAUS33XXX
770	CORPBANCA NEW YORK BRANCH	NEW YORK,NY		CONBUS33XXX
771	CORPORATE FUNDING PARTNERS,LLC.	NEW YORK,NY		CFNYUS33XXX
772	COUNTRY CLUB BANK	KANSAS CITY,MO		CUCBUS44XXX
773	CREDIT AGRICOLE CIB	NEW YORK,NY	(IBF BANCH)	CRLYUS33IBF
774	CREDIT AGRICOLE CIB	NEW YORK,NY		CRLYUS33XXX
775	CREDIT AGRICOLE SECURITIES USA INC	NEW YORK,NY	(NEW YORK OFFICE)	CRLSUS33SMK
776	CREDIT AGRICOLE SECURITIES USA INC	NEW YORK,NY	(SETCLEAR)	CRLSUS3SCLR
777	CREDIT AGRICOLE SECURITIES USA INC	NEW YORK,NY		CRLSUS33XXX
778	CREDIT INDUSTRIEL ET COMMERCIAL, NEW YORK BRANCH	NEW YORK,NY	(GCI)	CMCIUS33GCI
779	CREDIT INDUSTRIEL ET COMMERCIAL, NEW YORK BRANCH	NEW YORK,NY	(IBF)	CMCIUS33IBF
780	CREDIT INDUSTRIEL ET COMMERCIAL, NEW YORK BRANCH	NEW YORK,NY		CMCIUS33XXX
781	CREDIT SUISSE AG, NEW YORK BRANCH	NEW YORK,NY	(NEW YORK BRANCH)	CRESUS33LIQ
782	CREDIT SUISSE AG, NEW YORK BRANCH	NEW YORK,NY	(RECEIVE AND DISPURSE CASH)	CRESUS33RDC
783	CREDIT SUISSE AG, NEW YORK BRANCH	NEW YORK,NY		CRESUS33FXO
784	CREDIT SUISSE AG, NEW YORK BRANCH	NEW YORK,NY		CRESUS33LCO
785	CREDIT SUISSE AG, NEW YORK BRANCH	NEW YORK,NY		CRESUS33LNO
786	CREDIT SUISSE AG, NEW YORK BRANCH	NEW YORK,NY		CRESUS33MMO
787	CREDIT SUISSE AG, NEW YORK BRANCH	NEW YORK,NY		CRESUS33PBS
788	CREDIT SUISSE AG, NEW YORK BRANCH	NEW YORK,NY		CRESUS33PMO
789	CREDIT SUISSE AG, NEW YORK BRANCH	NEW YORK,NY		CRESUS33SYN
790	CREDIT SUISSE AG, NEW YORK BRANCH	NEW YORK,NY		CRESUS33XXX
791	CREDIT SUISSE AG, NEW YORK BRANCH	NEW YORK,NY		CRESUS3NXXX
792	CREDIT SUISSE ASSET MANAGEMENT NEW YORK	NEW YORK,NY		BEAAUS33DLJ
793	CREDIT SUISSE ASSET MANAGEMENT NEW YORK	NEW YORK,NY		BEAAUS33MSC
794	CREDIT SUISSE ASSET MANAGEMENT NEW YORK	NEW YORK,NY		BEAAUS33XXX
795	CREDIT SUISSE CAPITAL LLC	NEW YORK,NY	(COLLATERAL MANAGEMENT UNIT)	CSFBUS3LCMU
796	CREDIT SUISSE CAPITAL LLC	NEW YORK,NY		CSFBUS3LXXX
797	CREDIT SUISSE SECURITIES (USA) LLC	NEW YORK,NY	(ALTERNATE INVESTMENTS DEPARTMENT)	CSFBUS33AID
798	CREDIT SUISSE SECURITIES (USA) LLC	NEW YORK,NY	(CORPORATE TREASURY)	CSFBUS33TRS
799	CREDIT SUISSE SECURITIES (USA) LLC	NEW YORK,NY	(OTC/EXCHANGE TRADE OPTIONS DEPT.)	CSFBUS33OCE
800	CREDIT SUISSE SECURITIES (USA) LLC	NEW YORK,NY	(PRIME SERVICES)	CSFBUS33PBK
